Connecting to host server, port 5201
[  5] local 10.1.3.2 port 58844 connected to 10.1.9.2 port 5201
[  5] 162.00-163.00 sec  5.57 MBytes  46.8 Mbits/sec    0   2.55 MBytes       
[  5] 163.00-164.00 sec  5.58 MBytes  46.8 Mbits/sec    0   2.55 MBytes       
[  5] 164.00-165.00 sec  5.58 MBytes  46.8 Mbits/sec    0   2.56 MBytes       
[  5] 165.00-166.00 sec  5.58 MBytes  46.8 Mbits/sec    0   2.57 MBytes       
[  5] 166.00-167.00 sec  5.64 MBytes  47.3 Mbits/sec    0   2.59 MBytes       
[  5] 167.00-168.00 sec  5.64 MBytes  47.3 Mbits/sec    0   2.63 MBytes       
[  5] 168.00-169.00 sec  5.77 MBytes  48.4 Mbits/sec    0   2.68 MBytes       
[  5] 169.00-170.00 sec  5.70 MBytes  47.9 Mbits/sec    0   2.76 MBytes       
[  5] 170.00-171.00 sec  5.39 MBytes  45.2 Mbits/sec    0   2.86 MBytes       
[  5] 171.00-172.00 sec  5.52 MBytes  46.3 Mbits/sec    0   2.98 MBytes       
[  5] 172.00-173.00 sec  5.45 MBytes  45.7 Mbits/sec    0   3.02 MBytes       
[  5] 173.00-174.00 sec  5.76 MBytes  48.3 Mbits/sec    0   3.02 MBytes       
[  5] 174.00-175.00 sec  5.27 MBytes  44.2 Mbits/sec    0   3.02 MBytes       
[  5] 175.00-176.00 sec  5.95 MBytes  49.9 Mbits/sec    0   3.02 MBytes       
[  5] 176.00-177.00 sec  5.46 MBytes  45.8 Mbits/sec    0   3.02 MBytes       
[  5] 177.00-178.00 sec  4.14 MBytes  34.8 Mbits/sec  108   1.72 MBytes       
[  5] 178.00-179.00 sec  6.82 MBytes  57.3 Mbits/sec    0   2.22 MBytes       
[  5] 179.00-180.00 sec  5.51 MBytes  46.2 Mbits/sec    0   2.40 MBytes       
[  5] 180.00-181.00 sec  5.93 MBytes  49.7 Mbits/sec   20   1.74 MBytes       
[  5] 181.00-182.00 sec  5.65 MBytes  47.5 Mbits/sec    0   1.84 MBytes       
[  5] 182.00-183.00 sec  5.72 MBytes  48.0 Mbits/sec    0   1.93 MBytes       
